Num‚ro porc;T0-T1;GR auto : 5-8(10,6/æL);HGB(g/L)(100-160);HCT(%)(32-50);MCV(fL) (VGM)(50-68);MCH(pg) (TCMH)(17-21);MCHC(%) (CCMH)(30-34);RDW-SD(fL);RDW-CV(%);RET#(K/uL);RET%(%)(0-1);IRF(%);PLT auto : 325-715(10,3/æl);GB : 11-22(10,3/æl);GNN auto : 3,1-10,5;Lymphocytes auto : 4,3-13;Monocytes auto : 0,2-2,2;GNE auto:0-2,4 ;GNB auto : 0-0,3
P108;;6;97;31,2;55,7;17,3;31,1;41,8;24,5;154;3;6;567;16,61;7,39;8,59;0,58;0,03;0,02
P109;;7;119;40,8;62,2;18,1;29,2;57;29,9;444;7;6;623;17,93;8,99;8,15;0,73;0,03;0,03
P110;;7;126;43;57,5;16,8;29,3;50,9;29,5;560;7;10;986;17,11;9,08;7,44;0,55;0,02;0,02
P111;;6;99;32,2;54,9;16,9;30,7;54,1;32;153;3;10;751;21,2;7,53;12,86;0,78;0,01;0,02
P112;;6;91;30,9;55,2;16,3;29,4;60,7;34,4;174;3;5;507;18,57;5,54;11,65;1,35;0,01;0,02
P113;;6;122;40,3;63,5;19,2;30,3;52,8;27,4;481;8;8;449;16,71;7,95;7,94;0,79;0,01;0,02
P114;;6;122;39,6;62,5;19,2;30,8;46,7;25,4;455;7;3;764;9,66;4,91;4,17;0,56;0,01;0,01
P115;;6;107;36;61,1;18,2;29,7;48,8;25,8;163;3;5;640;10,26;5,05;4,63;0,56;0,01;0,01
P116;;7;119;40,1;60,9;18,1;29,7;39,4;21,8;361;5;4;520;14,38;7,71;6,22;0,41;0,02;0,02
P117;;6;107;37,4;60,6;17,3;28,6;43,1;24,2;321;5;7;588;12,08;4,4;6,68;0,98;0,01;0,01
P118;;6;111;36,4;58,9;18;30,5;41,6;24,1;236;4;7;697;19,98;7,84;10,89;1,23;0,01;0,01
P119;;7;127;43,8;63;18,3;29;42,4;23,5;217;3;9;457;14,03;3,86;9,44;0,69;0,02;0,02
P120;;7;121;40;60,2;18,2;30,3;37,1;21,5;262;4;3;820;12,96;5,12;7,15;0,67;0,01;0,01
P121;;6;110;38,4;62,7;18;28,6;53,4;27,8;201;3;3;460;14,67;4,23;9,79;0,61;0,02;0,02
P122;;6;107;34,9;58,7;18;30,7;41,6;24,2;222;4;7;706;14,77;5,58;8,57;0,6;0,01;0,01
P123;;6;115;38,9;65,1;19,2;29,6;62,6;30;237;4;3;295;7,67;3,53;3,81;0,29;0,01;0,03
P124;;6;126;41,2;66,1;20,2;30,6;43,2;21,7;262;4;3;735;8,19;2,58;5,17;0,42;0,01;0,01
P125;;5;107;36,9;73,2;21,2;29;59,4;25,3;587;12;9;911;7,01;3,17;3,64;0,18;0,01;0,01
P126;;5;108;38,7;73,6;20,5;27,9;59,1;24,4;496;9;9;793;9,23;4,63;4,42;0,17;0,01;0
P127;;7;110;37,2;55,1;16,3;29,6;50,1;29,5;217;3;4;687;11,24;3,64;7,29;0,29;0,01;0,01
P128;;6;114;37,3;60;18,3;30,6;37,9;20,9;320;5;3;611;8,6;3,98;4,25;0,34;0,02;0,01
P129;;3;52;16,4;56;17,7;31,7;52,6;28,7;129;4;3;28;2,87;1,23;1,38;0,23;0,01;0,02
P131;;7;121;41,3;59,9;17,5;29,3;47,9;26,8;137;2;8;792;12,26;4,42;7,58;0,24;0,01;0,01
P132;;7;123;40,3;57,8;17,6;30,5;46,8;26,8;156;2;4;401;14,61;6,29;6,95;1,23;0,1;0,04
P133;;7;121;40,2;57,8;17,4;30,1;43,5;25,1;216;3;4;289;10,84;5,11;5,38;0,31;0,02;0,02
P134;;6;118;39,3;64;19,2;30;49,7;25,8;232;4;6;606;16,72;11,16;5,24;0,3;0,01;0,01
P135;;7;114;38,9;52,6;15,4;29,3;59,9;36,2;37;1;21;786;13,51;5,58;7,56;0,36;0;0,01
P136;;7;123;39,7;54,4;16,8;31;44,2;27,7;169;2;8;762;19,89;9,46;9,43;0,99;0,01;0
P137;;6;114;36,9;58,1;18;30,9;48,3;27,5;262;4;4;343;18,68;8,09;9,55;0,93;0,05;0,06
P138;;7;113;38,5;56,4;16,5;29,4;47;28;236;3;12;648;35,51;17,47;16,58;1,42;0,03;0,01
P139;;7;126;40,9;58,3;18;30,8;45,1;26,4;168;2;7;755;14,41;8,59;5,49;0,31;0,01;0,01
P140;;7;136;44,8;61,4;18,6;30,4;46,5;25,6;226;3;6;596;11,66;4,3;6,9;0,41;0,04;0,01
P141;;7;132;44,1;61,8;18,5;29,9;45,2;24,7;326;5;4;554;17,13;8,4;7,93;0,6;0,18;0,02
P142;;8;128;44,4;57,1;16,5;28,8;46,5;28,1;194;2;6;600;14,28;5,89;7,87;0,47;0,02;0,03
P143;;6;127;41,4;70,9;21,7;30,7;44,5;20,5;276;5;4;346;8,65;5,29;3,01;0,34;0,01;0
P144;;6;129;42,7;68;20,5;30,2;43;21,1;293;5;5;486;8,85;4,11;4,4;0,32;0,01;0,01
P145;;7;109;37,3;54,5;15,9;29,2;62,2;35,3;344;5;4;574;15,42;8,08;7,02;0,31;0,01;0
P146;;7;118;40,8;60,1;17,4;28,9;53,2;28,7;249;4;5;785;13,52;6,16;7,05;0,3;0;0,01
P147;;7;130;43,3;60,3;18,1;30;43,3;24,4;292;4;5;741;17,77;11,79;5,67;0,3;0,01;0
P148;;7;120;40,9;62,1;18,2;29,3;44,1;23,9;341;5;5;719;22,95;11,66;10,83;0,44;0,01;0,01
P149;;7;109;36,5;54,4;16,2;29,9;58,5;33,9;123;2;4;904;8,14;3,35;4,61;0,17;0,01;0
P150;;7;113;37,8;55,3;16,5;29,9;47,5;28;299;4;2;903;12,54;5,15;7;0,38;0,01;0
P151;;7;98;31,6;46,5;14,4;31;----;46,6;130;2;2;374;9,42;3,69;5,61;0,11;0;0,01
P152;;6;88;27,2;47,2;15,3;32,4;----;40,3;211;4;2;645;8,98;4,85;3,91;0,18;0,03;0,01
P153;;6;85;29;51,5;15,1;29,3;----;42,7;144;3;3;1019;12,81;7,96;4,7;0,14;0;0,01
P154;;6;90;31,5;51,1;14,6;28,6;----;37;43;1;14;815;7,92;3,65;3,99;0,28;0;0
P155;;6;103;33;54,5;17;31,2;51,8;29,9;90;1;6;478;13,92;8,15;4,75;1,02;0;0
P156;;5;92;31,6;61;17,8;29,1;68,8;33,9;98;2;6;566;15,52;10,9;3,43;1,19;0;0
P157;;6;102;33,9;56;16,9;30,1;52,9;30,2;240;4;2;441;8,29;3,67;4,22;0,4;0;0
P158;;6;99;32,8;51,1;15,4;30,2;----;34,8;345;5;3;634;10,69;5,36;4,8;0,51;0,01;0,01
P159;;6;112;37,4;61,7;18,5;29,9;41,6;22,4;224;4;4;479;9,18;3,42;5,53;0,23;0;0
P160;;6;92;30,8;48,4;14,5;29,9;----;36,2;14;0;24;766;7,42;2,39;4,79;0,23;0;0,01
P161;;6;94;31,7;50,2;14,9;29,7;----;39,8;11;0;85;530;16,25;6,75;8,92;0,53;0,02;0,03
P162;;6;105;37,8;60,6;16,8;27,8;64;33,5;190;3;4;592;9,1;3,18;5,71;0,21;0;0
P181;;6;135;44,6;69,6;21,1;30,3;50;23,6;328;5;3;364;9,45;4,31;4,68;0,41;0,02;0,03
P182;;6;118;39,4;68,9;20,6;29,9;44,7;20,9;243;4;4;453;8,44;1,66;6,24;0,52;0,02;0
P183;;7;118;38,7;59,4;18,1;30,5;49,9;27,4;368;6;3;711;6,72;2,16;3,96;0,58;0,02;0
P184;;6;123;40,5;62,5;19;30,4;47,9;25;279;4;3;666;8,34;4,3;3,63;0,41;0;0
P185;;7;135;44,5;61,3;18,6;30,3;46,9;25,9;190;3;5;690;13,22;5,84;6,35;0,97;0,04;0,02
P186;;7;133;44,4;66,2;19,8;30;49,4;25;309;5;6;548;14,14;8,3;5,31;0,51;0,01;0,01
P187;;6;118;39,9;62,8;18,6;29,6;46,1;24,4;183;3;3;660;10,11;2,28;6,72;1,02;0,08;0,01
P188;;6;117;38,1;62,1;19,1;30,7;58,4;29,7;181;3;6;546;11;3,82;6,41;0,76;0,01;0
P189;;6;116;40,2;62,3;18;28,9;46,2;24,3;511;8;8;603;18,65;5,04;12,11;1,45;0,04;0,01
P190;;7;117;40;59;17,3;29,3;56,1;30,3;629;9;10;424;7,42;3,7;3,21;0,43;0,08;0
P191;;6;115;38,6;59,7;17,8;29,8;42,8;23,6;326;5;2;498;10,23;4,59;4,92;0,7;0,01;0,01
P192;;7;132;43,9;60,1;18,1;30,1;47,2;26,4;386;5;3;341;16,8;9,58;6,49;0,7;0,02;0,01
P193;;6;89;28,1;47,5;15;31,7;----;33,6;224;4;2;619;6,09;2,85;3;0,23;0,01;0
P194;;6;119;38,5;59,6;18,4;30,9;46,4;26,1;289;4;3;560;12,23;7,81;4,18;0,19;0,03;0,02
P195;;6;102;33,6;54,2;16,5;30,4;52,1;30,3;176;3;1;626;6,55;2,35;3,93;0,26;0;0,01
P196;;6;120;40,2;63,3;18,9;29,9;41,6;22,2;366;6;6;469;6,82;2,75;3,86;0,19;0,02;0
P197;;7;128;43,3;61,9;18,3;29,6;42,2;23,1;162;2;4;412;11,69;6,21;4,89;0,57;0,01;0,01
P198;;6;114;38,6;60,1;17,8;29,5;41,4;23;167;3;4;524;10,64;5,63;4,66;0,32;0,03;0
P199;;6;105;37,1;58,7;16,6;28,3;46,6;26,1;363;6;2;308;13,34;5,81;7,01;0,5;0,01;0,01
P200;;7;107;37,8;57,2;16,2;28,3;46,8;26,8;214;3;5;494;13,65;4,16;8,71;0,76;0,01;0,01
P201;;6;115;40,1;63,5;18,2;28,7;45,1;23,9;150;2;7;468;12,72;3,75;8,29;0,66;0,02;0
P202;;7;120;41,6;63,6;18,3;28,8;49,2;24,7;162;2;6;307;12,36;4,33;7,16;0,8;0,02;0,05
P203;;6;114;38,9;61,8;18,1;29,3;38,3;21,2;179;3;6;484;15,48;4,89;9,58;0,93;0,07;0,01
P204;;7;117;40,2;58,9;17,1;29,1;37;21,9;147;2;5;432;9,23;3,81;5,09;0,32;0;0,01
P205;;7;123;41;61,7;18,5;30;40,6;22,4;197;3;5;782;15,1;3,56;10,73;0,71;0,09;0,01
P206;;6;97;32;52,9;16;30,3;50,1;29,9;214;4;2;567;8,29;2,18;5,69;0,39;0,02;0,01
P207;;6;93;31,3;54,6;16,2;29,7;45;27,8;78;1;8;528;14,39;4,27;9,45;0,63;0,03;0,01
P208;;7;118;39,7;60,3;17,9;29,7;46,8;26,1;86;1;11;696;12,39;5,57;6,4;0,39;0,03;0
P209;;6;102;34,9;58,5;17,1;29,2;46,3;26,3;246;4;3;789;14,89;5,38;8,93;0,57;0;0,01
P210;;6;106;34,8;59,2;18;30,5;42;23,3;205;3;6;459;13,13;3,79;8,55;0,75;0,02;0,02
P211;;5;81;27,3;51,1;15,2;29,7;52;32,9;161;3;9;606;17,54;2,97;13,45;1,07;0,05;0
P212;;8;126;44,6;58,1;16,4;28,3;----;40,2;35;0;10;476;10,07;2,53;7,01;0,48;0,04;0,01
P213;;9;129;46,4;53,8;14,9;27,8;59,7;35,4;56;1;19;621;13,1;3,11;9,27;0,65;0,05;0,02
P214;;7;106;37,4;57,5;16,3;28,3;44,9;26,8;171;3;5;712;10,39;2,2;7,56;0,54;0,09;0
P215;;6;99;33,2;56,6;16,9;29,8;48,3;28,1;105;2;13;888;13,67;3,52;9,37;0,75;0,03;0
P216;;6;95;32,8;55,4;16;29;----;37,6;122;2;4;845;10,24;3,42;6,21;0,59;0,02;0
P217;;6;100;34,9;59;16,9;28,7;48,1;26,6;158;3;9;665;18,64;9,42;8,72;0,47;0,03;0
P218;;6;105;35,9;56,9;16,6;29,2;48,1;28;196;3;4;741;8,7;2,8;5,52;0,37;0;0,01
P219;;7;108;36,7;50,9;15;29,4;40,9;27,9;213;3;4;578;12,5;5,31;6,54;0,63;0,01;0,01
P220;;6;91;29,8;49,7;15,2;30,5;----;39,1;185;3;1;507;8,14;4,25;3,69;0,15;0,01;0,04
P221;;6;97;33,1;51;14,9;29,3;----;35,5;242;4;4;805;12,02;7,25;4,53;0,23;0;0,01
P222;;6;93;30,5;49,2;15;30,5;----;36,1;68;1;13;718;12,39;5,93;5,74;0,68;0,03;0,01
P223;;6;96;31,5;52,9;16,1;30,5;----;38,8;196;3;3;723;11,62;6,86;4,14;0,62;0;0
P224;;6;106;34,9;57,3;17,4;30,4;66,3;34,8;217;4;3;368;9,44;4,42;4,32;0,66;0,01;0,03
P225;;6;132;44,7;70,1;20,7;29,5;48,1;22,9;250;4;3;434;7,06;2,81;3,85;0,38;0,01;0,01
P226;;7;124;40,9;60,6;18,4;30,3;40,7;22,8;350;5;6;571;17,86;8,3;8,3;1,25;0,01;0
P227;;5;79;24,8;49,2;15,7;31,9;----;43,3;97;2;1;913;6,96;3,79;2,93;0,24;0;0
P228;;5;88;27,2;49,5;16;32,4;----;37,7;99;2;6;763;15,86;9,48;5,61;0,75;0,01;0,01
P229;;6;91;28,5;45,5;14,5;31,9;----;37,1;146;2;2;918;6,78;2,15;4,5;0,11;0,01;0,01
P230;;6;92;29,5;47,7;14,9;31,2;----;32,6;79;1;6;668;7,78;2,72;4,82;0,23;0,01;0
P231;;6;94;30,6;50,6;15,5;30,7;----;39,2;230;4;1;1175;6,41;2,22;3,9;0,29;0;0
P232;;7;99;30,4;46,6;15,2;32,6;----;40;55;1;1;824;5,89;1,48;4,2;0,2;0,01;0
P233;;6;116;39,2;61,1;18,1;29,6;49;26,5;218;3;6;845;15,68;9,5;5,51;0,62;0,03;0,02
P234;;6;118;40,3;62,3;18,2;29,3;48,4;25,5;296;5;4;730;11,39;5,09;5,88;0,31;0,1;0,01
P235;;7;118;40,1;60,3;17,7;29,4;40,5;23;250;4;6;742;19,2;7,46;11,05;0,68;0,01;0
P236;;7;125;41,7;60,8;18,2;30;42,2;23,9;241;4;4;610;11,23;4,66;6,04;0,52;0,01;0
P237;;6;129;42,3;66,8;20,4;30,5;45,6;22,5;340;5;4;277;19,35;6,26;12,02;1,04;0,02;0,01
P238;;7;132;44,6;64,5;19,1;29,6;43,3;23,3;292;4;7;647;17,01;6,23;10,08;0,69;0,01;0
P239;;6;131;41,8;67,5;21,2;31,3;43;21,3;230;4;5;591;8,24;3,58;4,32;0,32;0,01;0,01
P240;;7;127;44,8;65,3;18,5;28,3;44,8;23,3;173;3;6;524;12,92;3,59;8,62;0,7;0,01;0
P241;;7;128;42,2;64,8;19,7;30,3;44,1;22,8;258;4;5;642;13,25;3,94;8,71;0,6;0;0
P242;;8;158;55;65,2;18,7;28,7;47,6;25,6;294;3;3;290;18,86;8,36;9,79;0,67;0,03;0,01
P243;;6;131;45,1;73;21,2;29;49,5;22;278;4;7;604;16,56;5,33;10,55;0,67;0,01;0
P244;;6;116;39,7;65;19;29,2;42,9;22;212;3;6;548;13,97;6,73;6,64;0,57;0,02;0,01
P245;;6;119;40;61,8;18,4;29,8;44,9;24,2;239;4;7;560;15,86;7,32;8,13;0,39;0,01;0,01
P246;;6;119;41,3;71,8;20,7;28,8;47,6;21,7;214;4;6;316;10,49;3,37;6,41;0,59;0,08;0,04
P247;;6;105;35,5;62,6;18,5;29,6;62,7;31,3;171;3;5;594;12,77;4,8;7,27;0,65;0,04;0,01
P248;;6;110;36,5;64,4;19,4;30,1;53,8;27,1;176;3;11;729;16,65;6,01;9,94;0,64;0,05;0,01
P249;;7;117;37,9;57,1;17,6;30,9;38,8;23,7;79;1;10;586;16,44;4,94;10,93;0,52;0,04;0,01
P250;;7;119;42,4;64,9;18,2;28,1;50,1;25,6;140;2;9;519;19,58;8,65;9,61;1,28;0,03;0,01
P251;;6;112;38,5;67,1;19,5;29,1;48;22,7;272;5;5;488;14,17;5,92;7,58;0,63;0,02;0,02
P252;;6;109;37,7;60;17,4;28,9;50,3;27,6;23;0;47;655;30,06;20,47;7,64;1,66;0,28;0,01
P253;;6;121;42,8;66,6;18,8;28,3;48,2;24;322;5;6;513;15,28;4,24;10,17;0,82;0,05;0
P254;;7;120;43;62;17,3;27,9;41,9;23,8;297;4;5;569;19,59;4,28;14,27;0,99;0,03;0,02
P255;;5;86;29,2;53,6;15,8;29,5;52;31,1;182;3;7;789;17,36;3,9;12,57;0,86;0,02;0,01
P256;;5;89;30,3;55,3;16,2;29,4;66;36,5;201;4;3;661;14,47;3,9;9,74;0,55;0,27;0,01
P257;;6;93;32,1;58,4;16,9;29;54,3;29,5;173;3;3;586;17,8;4,22;12,6;0,95;0,01;0,02
P258;;6;102;35,1;57;16,6;29,1;47,5;27,8;91;1;7;594;18,22;7,41;10,17;0,64;0;0
P259;;6;98;32,4;50,8;15,4;30,2;----;38,8;47;1;17;520;12,43;3,99;7,8;0,62;0,02;0
P260;;6;94;31,3;55,3;16,6;30;53,8;30,6;147;3;3;545;12,84;3,74;8,16;0,93;0,01;0
P261;;6;108;38,1;60,9;17,3;28,3;55,8;29,9;127;2;4;509;7,46;3,21;3,98;0,25;0,01;0,01
P262;;6;104;37,1;60,2;16,9;28;59,7;31,8;156;3;3;641;10,06;3,2;6,33;0,51;0;0,02
P263;;6;128;41,8;65,4;20;30,6;45,1;23,4;184;3;3;423;8,35;3,38;4,6;0,34;0,03;0
P264;;6;124;39,7;62,3;19,5;31,2;42,5;23,7;189;3;6;550;15,94;5,03;10,21;0,68;0,02;0
