Num‚ro porc;T0-T1;GR auto : 5-8(10,6/æL);HGB(g/L)(100-160);HCT(%)(32-50);MCV(fL) (VGM)(50-68);MCH(pg) (TCMH)(17-21);MCHC(%) (CCMH)(30-34);RDW-SD(fL);RDW-CV(%);RET#(K/uL);RET%(%)(0-1);IRF(%);PLT auto : 325-715(10,3/æl);GB : 11-22(10,3/æl);GNN auto : 3,1-10,5;Lymphocytes auto : 4,3-13;Monocytes auto : 0,2-2,2;GNE auto:0-2,4 ;GNB auto : 0-0,3
P047;T1;9;156;60,2;63,5;16,5;25,9;25,9;73,9;10;0;88;493;18,83;8,64;9,72;0,35;0,11;0,01
P048;T1;9;135;51,7;56,4;14,7;26,1;26,1;56,4;77;1;12;646;22,19;10,72;10,93;0,44;0,08;0,02
P049;T1;7;111;41,5;57,7;15,4;26,7;26,7;61,9;17;0;56;544;13,68;4,53;8,53;0,41;0,11;0,1
P050;T1;6;89;31,4;50,1;14,2;28,3;28,3;----;17;0;63;542;13,21;4,16;8,44;0,56;0,04;0,01
P051;T1;8;102;35,7;47,5;13,6;28,6;28,6;----;53;1;14;838;16,63;7,39;8,77;0,34;0,12;0,01
P052;T1;7;100;36,6;54,4;14,9;27,3;27,3;----;98;1;12;601;22,89;10,85;10,73;1,08;0,21;0,02
P053;T1;7;104;36,1;54,5;15,7;28,8;28,8;49;53;1;45;554;30,65;19,56;10,12;0,78;0,16;0,03
P054;T1;7;110;38,6;57,4;16,4;28,5;28,5;48,1;52;1;28;681;16,4;4,87;10,71;0,65;0,13;0,04
P055;T1;7;116;40;59,3;17,2;29;41;23;117;2;7;502;19,03;6,97;10,1;1,64;0,31;0,01
P056;T1;10;163;56,3;57,5;16,6;29;38,4;25,1;152;2;5;551;15,12;6,13;8,47;0,38;0,13;0,01
P057;T1;6;110;37,4;58,4;17,2;29,4;47,9;27,5;37;1;21;611;17,73;6,43;10,14;1,02;0,14;0
P058;T1;7;120;40,8;60;17,6;29,4;46,4;27;52;1;29;609;17,7;3,98;12,87;0,76;0,08;0,01
P059;T1;7;122;41,2;58,5;17,3;29,6;43,5;25,4;35;1;16;749;14,85;3,4;10,99;0,42;0,03;0,01
P060;T1;8;118;40,2;53,5;15,7;29,4;40;26,9;26;0;21;790;14,51;7,9;5,67;0,75;0,18;0,01
P061;T1;7;104;36,4;51,6;14,8;28,6;53,3;34;13;0;88;606;16,41;4,77;11,01;0,43;0,2;0
P062;T1;7;119;40,7;56,7;16,6;29,2;45,3;27,1;37;1;27;564;16,62;3,85;11,71;0,9;0,15;0,01
P063;T1;8;121;43,9;55,5;15,3;27,6;66,2;37;36;0;9;661;8,11;3,09;4,47;0,51;0,04;0
P064;T1;7;116;40,4;58,6;16,8;28,7;44,6;25,5;71;1;13;624;14,72;5,31;8,6;0,74;0,06;0,01
P065;T1;8;117;43,1;57,3;15,6;27,1;58,6;32,5;53;1;36;810;19,2;4,93;13,43;0,73;0,11;0
P066;T1;7;119;40,5;59;17,3;29,4;40,4;22,9;164;2;4;557;18,31;5,47;12,05;0,62;0,14;0,03
P067;T1;7;119;39,3;57,5;17,4;30,3;47,2;27,1;84;1;8;444;14,59;6,05;7,64;0,72;0,16;0,02
P068;T1;7;129;43,4;59,1;17,6;29,7;42,1;24,5;115;2;12;605;19,41;6,85;11,53;0,88;0,14;0,01
P069;T1;7;104;36;50,7;14,6;28,9;51,9;32,4;60;1;16;695;16,9;9,08;7,09;0,66;0,06;0,01
P070;T1;7;102;34,9;53,7;15,7;29,2;54,6;32,7;16;0;47;672;12,96;3,96;7,97;0,93;0,09;0,01
P071;T1;6;107;36,1;57,3;17;29,6;40,5;24;74;1;12;621;18,64;5,74;11,61;1,2;0,08;0,01
P073;T1;6;99;35;56,8;16,1;28,3;----;37,3;94;2;16;981;15,09;4,93;8,94;1,04;0,13;0,05
P074;T1;6;93;31;50,5;15,1;30;56;36,1;14;0;58;561;15,61;6,91;7,62;0,93;0,13;0,02
P075;T1;6;102;34,1;54;16,2;29,9;47,7;28,9;47;1;11;655;12,94;6,97;4,98;0,74;0,23;0,02
P076;T1;7;92;32,6;49,8;14;28,2;----;38,5;26;0;38;721;23,89;14,01;8,4;1,2;0,25;0,03
P077;T1;6;99;33,2;54,2;16,2;29,8;50,5;30,3;47;1;34;619;22,09;10,6;9,69;1,57;0,22;0,01
